Email Campaign Report
"Title:","Email Newsletter"
"Subject Line:","Get ready for the game with a Chicago Bulls Varsity Bomber Jackets"
"Delivery Date/Time:","Tue, Feb 28, 2023 5:25 am"

"Overall Stats"
"Total Recipients:","2"
"Successful Deliveries:","2"
"Bounces:","0 (0.0%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","1 (50.0%)"
"Total Opens:","1"
"Last Open Date:","2/28/23 5:32AM"
"Recipients Who Clicked:","0 (0.0%)"
"Total Clicks:","0"
"Total Unsubs:","0"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://rjackets.com/category/sports-jackets/chicago-bulls-jackets","0","0"
"https://pinterest.com/rjacketsofficial/","0","0"
"https://facebook.com/RjacketsOfficial/","0","0"
"https://rjackets.com/category/varsity-jackets","0","0"
"https://instagram.com/rjacketsofficial/","0","0"
"https://rjackets.com/","0","0"
"http://eepurl.com/ilLqAg","0","0"
